code,,cygnus
-90710.26334,,-171760.3
-59483.08819,,-165259.36
1594.573449,,-143261.17
63869.39453,,-107838.54
104764.772,,-62244.71
119468.6436,,-10632.5
128872.6036,,42273.17
136243.2702,,91547.78
139248.5516,,132486.95
136134.4619,,161057.92
108113.9127,,174337.18
50223.2075,,170863.19
-13971.00258,,150831.59
-74438.32748,,116088.19
-103607.3093,,69922.1
-102921.379,,16707.17
-99957.76116,,-38537.18
-98652.32988,,-90601.95
-98547.32138,,-134525.89
-100041.9825,,-166007.44
-89801.66492,,-181793.48
-40397.78297,,-180031.19
22472.57799,,-160538.92
82691.21739,,-124929.95
125971.4366,,-76528.94
138375.3137,,-20059.37
139628.8889,,38864.06
135861.1895,,94353.88
128309.7867,,140875.87
117336.5107,,173794.81
86636.16617,,189792.32
31699.51221,,187148.7
-28663.29594,,165900.62
-77453.57781,,127879.2
-93072.70862,,76612.59
-98128.94143,,17063.11
-104615.2836,,-44819.2
-111088.617,,-102706.49
-117082.5949,,-150596.1
-116370.4683,,-183499
-82581.29151,,-198000.84
-28534.05816,,-192613.34
27011.23381,,-167885.93
78982.39243,,-126297.49
116610.5707,,-71976.19
124222.9491,,-10296.43
118437.6917,,52614.1
111139.3107,,110437.99
103292.0603,,157280.35
94801.92897,,188285.94
77066.40089,,200189.97
32780.66609,,191715.85
-19073.81643,,163743.89
-68549.84981,,119213.84
-103878.2571,,62775.85
-117918.8183,,252.35
-126682.8032,,-62001.83
-133588.4194,,-117754.2
-136435.8081,,-161497.6
-125445.813,,-188959.1
-89763.30933,,-197489.38
-43895.78627,,-186312.01
6864.44424,,-156610.14
56960.55972,,-111428.9
93811.7914,,-55384.35
99670.36243,,5806.14
96517.69358,,65926.41
95436.76322,,118925.02
95902.79709,,159555.12
98293.22675,,183910.24
91819.49101,,189795.28
53637.21295,,176900.08
1754.433126,,146771.62
-50614.13951,,102605.03
-98005.91743,,48889.18
-130595.2526,,-9049.89
-137823.8514,,-65563.14
-135057.0184,,-115207.97
-128513.4558,,-153253.31
-119684.785,,-176122.18
-103855.6819,,-181733.18
-62445.85662,,-169704.28
-7868.037566,,-141388.63
47619.40809,,-99727.92
85305.16449,,-48933.07
95815.62529,,5969.68
103167.7846,,59666.05
110615.2964,,107082.92
117626.5469,,143856.13
122864.5888,,166695.05
111874.6384,,173629.13
65791.37633,,164140.22
6453.976804,,139190.2
-54386.80105,,101146.13
-106784.1627,,53595.21
-124329.3881,,1040.99
-120202.2726,,-51512.61
-113723.3065,,-99055.6
-106422.288,,-137082.76
-98456.5286,,-162046
-90615.98368,,-171683.42
-59531.99381,,-165190.94
1401.946116,,-143239.61
63625.08996,,-107869.45
104361.2336,,-62296.47
118973.4631,,-10656.66
128394.6339,,42309.74
135806.2042,,91640.04
138996.2451,,132593.38
136031.6886,,161126.15
108262.9989,,174337.16
50414.71725,,170806.39
-13790.04285,,150763.42
-74321.42786,,116058.09
-103659.8359,,69950.34
-103035.4623,,16770.08
-99927.18398,,-38493.48
-98508.78698,,-90627.14
-98299.57465,,-134631.95
-99663.07576,,-166157.29
-89779.22377,,-181919.88
-40647.40725,,-180074.82
22399.04075,,-160482.62
82643.07173,,-124808.1
125809.61,,-76406.31
138204.904,,-19992.04
139576.6752,,38861.52
135935.7549,,94315.35
128391.1918,,140860.53
117437.2277,,173848.34
86697.58877,,189915.98
31764.7346,,187294.83
-28618.86068,,165996.92
-77453.17548,,127867.14
-92942.21913,,76477.58
-97866.62136,,16840.13
-104243.0376,,-45065.79
-110670.3711,,-102915.1
-116650.8933,,-150732.84
-116102.8285,,-183562.87
-82571.68026,,-198009.95
-28386.22372,,-192584.86
27309.89782,,-167824.43
79415.92686,,-126198.7
116969.0033,,-71841.16
124397.5609,,-10143.28
118633.6271,,52751.7
111321.1198,,110526.77
103475.5681,,157307.6
94880.24949,,188269.59
76908.73169,,200169.67
32406.27437,,191728.71
-19568.90757,,163799.57
-68968.6768,,119285.23
-103761.5363,,62813.26
-117519.9291,,214.03
-126315.7876,,-62120.58
-133285.4638,,-117911.77
-136260.794,,-161623.58
-125315.6811,,-188989.81
-89534.8298,,-197401.39
-43613.57315,,-186134.46
7092.789661,,-156408.72
57123.45923,,-111271.11
93933.38489,,-55305.89
99795.71102,,5814.97
96521.94041,,65907.96
95306.22903,,118924.63
95641.72872,,159593.08
97908.1509,,183971.92
91466.24404,,189843.88
53363.94052,,176902.31
1558.408327,,146719.49
-50781.15175,,102520.53
-98066.58007,,48810.08
-130474.2402,,-9092.69
-137723.7156,,-65561.82
-135100.9619,,-115177.68
-128625.3933,,-153217.51
-119844.9129,,-176094.42
-103875.6196,,-181708.64
-62251.57526,,-169666.65
-7722.393599,,-141327.36
47608.0981,,-99652.9
85090.67715,,-48875.41
95440.78653,,5973.13
102707.2045,,59595.4
110107.8671,,106950.6
117084.1595,,143704.04
122353.4044,,166574.06
111564.9774,,173572.41
65707.6914,,164146.49
6513.074817,,139227.15
-54191.80443,,101171.71
-106593.6365,,53583.58
