LGL,RGL,LTA,RTA,LBF,RBF,LRF,RRF,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
-4416.06,-1786.34,-738.65,1314.18,-640.79,-1826.65,-34.75,-644.66,,,,,
-4415.71,-1767.1,-739.99,1300.29,-640.82,-1826.71,-33.94,-644.14,,,,,
-4418.13,-1752.79,-741.16,1288.22,-640.63,-1827.05,-33.36,-643.07,,,,,
-4423.26,-1750.07,-741.85,1282.83,-639.84,-1827.65,-33.15,-641.35,,,,,
-4428.07,-1763.12,-742.0,1286.04,-638.22,-1828.44,-33.3,-639.17,,,,,
-4428.07,-1791.12,-741.76,1296.06,-635.91,-1829.31,-33.68,-636.9,,,,,
-4420.32,-1827.68,-741.42,1308.37,-633.43,-1830.16,-34.09,-634.98,,,,,
-4405.84,-1862.59,-741.22,1317.89,-631.47,-1830.93,-34.29,-633.66,,,,,
-4389.92,-1885.44,-741.36,1321.25,-630.52,-1831.61,-34.13,-632.91,,,,,
-4379.81,-1889.46,-741.9,1318.09,-630.65,-1832.24,-33.58,-632.48,,,,,
-4380.88,-1873.91,-742.83,1310.84,-631.4,-1832.84,-32.77,-632.01,,,,,
-4393.48,-1844.11,-744.05,1303.34,-632.03,-1833.43,-31.91,-631.28,,,,,
-4412.34,-1809.15,-745.41,1298.96,-631.86,-1833.93,-31.25,-630.27,,,,,
-4429.07,-1778.46,-746.69,1299.18,-630.64,-1834.29,-30.96,-629.23,,,,,
-4436.41,-1758.75,-747.68,1303.33,-628.75,-1834.41,-31.1,-628.51,,,,,
-4431.95,-1752.32,-748.22,1309.17,-627.0,-1834.3,-31.58,-628.45,,,,,
-4419.2,-1757.31,-748.27,1314.25,-626.25,-1834.03,-32.2,-629.18,,,,,
-4405.39,-1769.18,-748.02,1316.92,-626.99,-1833.76,-32.75,-630.58,,,,,
-4397.33,-1782.65,-747.8,1316.89,-629.08,-1833.67,-33.02,-632.33,,,,,
-4397.59,-1793.29,-747.96,1315.14,-631.84,-1833.86,-32.92,-634.04,,,,,
-4403.43,-1798.51,-748.7,1313.22,-634.31,-1834.34,-32.47,-635.42,,,,,
-4408.77,-1797.81,-749.92,1312.67,-635.71,-1835.04,-31.78,-636.35,,,,,
-4408.18,-1792.66,-751.22,1314.5,-635.69,-1835.79,-31.04,-636.91,,,,,
-4400.42,-1785.92,-752.04,1318.93,-634.41,-1836.46,-30.39,-637.31,,,,,
-4389.27,-1780.86,-751.95,1325.47,-632.36,-1837.02,-29.96,-637.76,,,,,
-4381.27,-1779.89,-750.83,1333.03,-630.04,-1837.51,-29.77,-638.35,,,,,
-4381.61,-1783.33,-748.99,1340.12,-627.8,-1838.04,-29.8,-639.05,,,,,
-4390.63,-1788.87,-747.08,1345.21,-625.71,-1838.69,-29.99,-639.72,,,,,
-4403.21,-1792.31,-745.79,1347.16,-623.75,-1839.47,-30.26,-640.16,,,,,
-4411.45,-1789.54,-745.58,1345.54,-621.91,-1840.29,-30.54,-640.23,,,,,
-4409.21,-1779.12,-746.52,1340.8,-620.38,-1840.98,-30.81,-639.87,,,,,
-4395.94,-1763.95,-748.26,1334.09,-619.44,-1841.45,-31.0,-639.18,,,,,
-4377.36,-1750.8,-750.25,1326.66,-619.43,-1841.68,-31.07,-638.3,,,,,
-4362.7,-1747.44,-752.02,1319.31,-620.48,-1841.81,-30.98,-637.38,,,,,
-4359.78,-1758.43,-753.36,1312.1,-622.53,-1842.04,-30.67,-636.53,,,,,
-4370.73,-1781.62,-754.36,1304.57,-625.26,-1842.56,-30.15,-635.72,,,,,
-4390.72,-1807.72,-755.26,1296.45,-628.3,-1843.46,-29.44,-634.87,,,,,
-4410.5,-1823.63,-756.27,1288.43,-631.28,-1844.63,-28.65,-633.89,,,,,
-4421.16,-1818.58,-757.39,1282.39,-633.96,-1845.87,-27.86,-632.76,,,,,
-4418.68,-1790.2,-758.4,1280.87,-636.19,-1846.92,-27.2,-631.57,,,,,
-4405.63,-1747.15,-758.96,1285.84,-637.87,-1847.64,-26.71,-630.56,,,,,
-4389.37,-1706.61,-758.82,1297.32,-638.96,-1848.0,-26.42,-629.95,,,,,
-4377.78,-1687.02,-757.93,1312.77,-639.48,-1848.13,-26.27,-629.95,,,,,
-4375.17,-1699.5,-756.4,1327.69,-639.58,-1848.21,-26.19,-630.56,,,,,
-4380.47,-1742.0,-754.49,1337.28,-639.57,-1848.38,-26.08,-631.56,,,,,
-4388.64,-1799.38,-752.42,1338.65,-639.86,-1848.67,-25.9,-632.6,,,,,
-4394.19,-1849.84,-750.3,1332.16,-640.8,-1849.0,-25.63,-633.25,,,,,
-4394.54,-1874.66,-748.16,1321.49,-642.51,-1849.27,-25.3,-633.2,,,,,
-4391.29,-1866.72,-746.04,1311.95,-644.8,-1849.39,-24.97,-632.36,,,,,
-4388.75,-1833.48,-744.1,1308.06,-647.21,-1849.42,-24.69,-630.86,,,,,
-4390.72,-1792.96,-742.58,1311.41,-649.21,-1849.49,-24.49,-628.99,,,,,
-4397.79,-1764.75,-741.75,1319.98,-650.46,-1849.73,-24.37,-627.09,,,,,
-4406.76,-1760.53,-741.73,1329.28,-650.91,-1850.25,-24.26,-625.38,,,,,
-4412.58,-1778.94,-742.39,1334.66,-650.81,-1850.99,-24.08,-623.94,,,,,
-4411.67,-1807.17,-743.32,1333.64,-650.54,-1851.82,-23.72,-622.7,,,,,
-4404.37,-1828.29,-744.04,1327.13,-650.32,-1852.54,-23.15,-621.55,,,,,
-4395.07,-1830.27,-744.15,1318.77,-650.09,-1853.01,-22.34,-620.43,,,,,
-4389.74,-1812.14,-743.58,1312.96,-649.58,-1853.25,-21.38,-619.43,,,,,
-4392.35,-1783.97,-742.55,1312.56,-648.45,-1853.38,-20.36,-618.73,,,,,
-4402.23,-1761.11,-741.47,1317.48,-646.62,-1853.61,-19.4,-618.53,,,,,
-4414.23,-1755.89,-740.73,1324.84,-644.37,-1854.12,-18.58,-618.94,,,,,
-4421.46,-1771.15,-740.5,1330.52,-642.29,-1855.0,-17.92,-619.85,,,,,
-4419.25,-1799.1,-740.69,1331.27,-640.98,-1856.17,-17.4,-620.97,,,,,
-4408.01,-1825.62,-741.01,1326.19,-640.74,-1857.44,-16.98,-621.9,,,,,
-4393.25,-1837.76,-741.26,1316.9,-641.33,-1858.58,-16.67,-622.21,,,,,
-4382.77,-1830.16,-741.37,1306.55,-642.02,-1859.41,-16.53,-621.66,,,,,
-4382.44,-1807.21,-741.53,1298.23,-641.89,-1859.86,-16.67,-620.26,,,,,
-4392.95,-1780.15,-742.03,1293.66,-640.2,-1859.98,-17.13,-618.23,,,,,
-4409.46,-1760.77,-743.04,1292.88,-636.78,-1859.9,-17.88,-616.04,,,,,
-4424.14,-1755.57,-744.48,1294.84,-632.03,-1859.74,-18.73,-614.2,,,,,
-4430.39,-1763.0,-746.02,1298.29,-626.8,-1859.61,-19.35,-613.17,,,,,
-4426.29,-1775.35,-747.18,1302.51,-621.99,-1859.53,-19.43,-613.26,,,,,
-4415.52,-1783.62,-747.63,1307.35,-618.18,-1859.46,-18.78,-614.55,,,,,
-4405.23,-1782.59,-747.35,1312.68,-615.47,-1859.32,-17.44,-616.83,,,,,
-4402.08,-1773.37,-746.64,1317.95,-613.55,-1859.04,-15.74,-619.73,,,,,
-4408.61,-1762.19,-745.98,1321.99,-611.92,-1858.58,-14.16,-622.76,,,,,
-4421.89,-1756.4,-745.78,1323.62,-610.23,-1857.97,-13.14,-625.45,,,,,
-4434.92,-1760.19,-746.13,1322.34,-608.45,-1857.26,-12.83,-627.53,,,,,
-4440.19,-1772.18,-746.75,1318.93,-606.86,-1856.51,-12.97,-628.93,,,,,
-4433.27,-1786.34,-747.16,1315.21,-605.94,-1855.73,-12.93,-629.82,,,,,
-4414.92,-1795.37,-746.92,1313.19,-606.07,-1854.89,-11.92,-630.52,,,,,
-4390.58,-1794.56,-745.91,1313.93,-607.36,-1853.97,-9.36,-631.26,,,,,
-4367.9,-1784.21,-744.42,1316.85,-609.63,-1852.95,-5.17,-632.08,,,,,
-4353.47,-1769.21,-743.02,1319.96,-612.42,-1851.9,0.03,-632.75,,,,,
-4350.36,-1756.45,-742.29,1320.97,-615.18,-1851.0,5.04,-632.82,,,,,
-4357.43,-1751.37,-742.53,1318.68,-617.42,-1850.47,8.45,-631.85,,,,,
-4370.39,-1755.5,-743.61,1313.81,-618.84,-1850.5,9.09,-629.61,,,,,
-4383.87,-1766.22,-745.01,1308.83,-619.34,-1851.13,6.48,-626.28,,,,,
-4393.51,-1778.39,-746.05,1306.72,-619.08,-1852.2,1.05,-622.5,,,,,
-4397.27,-1787.0,-746.27,1309.28,-618.33,-1853.37,-5.96,-619.14,,,,,
-4395.65,-1789.37,-745.59,1316.11,-617.46,-1854.2,-12.92,-617.03,,,,,
